experiment_id,variant_id,question,track,source,case,case_label,solver_status,termination_condition,case_outcome,best_incumbent,best_bound,gap,elapsed_seconds,lp_relaxation_objective,timeline_mode,reconf_hours,delay_windows,fixed_total_mwh,mobile_total_mwh,c_reconf_yuan_per_mwh,C_total,C_grid,C_unserved,C_reconf,C_storage,C_total_with_storage,total_unmet_load,total_grid_purchase,total_charging_energy,total_discharging_energy,total_reconfiguration_volume,average_active_mobile_capacity_utilisation,SC_1,HT,R_delay,V_reconf_norm,B_reuse,L_friction,V_mob_net,note,reconf_hours_scan
E2,reconf_6,How sensitive is mobile value to the reconfiguration interval under a shared storage budget?,real,g2_representative_12x24,no_storage,Case 0: No Storage,ok,optimal,optimal,2584.1787740315203,2584.1787740315017,0.0,13.655999999959022,2584.1787740315203,representative_12x24,6,1,0.0,0.0,0.0,2584.1787740315203,2584.1787740315203,0.0,0.0,0.0,2584.1787740315203,0.0,2111.7147208947636,0.0,0.0,0.0,0.0,0.043478260886002505,0.0,0.0,0.0,,,,,6
E2,reconf_6,How sensitive is mobile value to the reconfiguration interval under a shared storage budget?,real,g2_representative_12x24,fixed_only,Case A: Fixed Only,ok,optimal,optimal,2264.3077646661045,2264.3077646661045,0.0,16.265999999945052,2264.3077646661045,representative_12x24,6,1,18.0,0.0,0.0,2264.3077646661045,2246.3077646661045,0.0,0.0,18.0,2264.3077646661045,0.0,2135.5693454851307,314.8166624653036,290.96203787493647,0.0,0.0,0.05516978922349966,1.0,0.0,0.0,,,,,6
E2,reconf_6,How sensitive is mobile value to the reconfiguration interval under a shared storage budget?,real,g2_representative_12x24,mobile_only,Case B: Mobile Only,ok,maxTimeLimit,feasible_with_gap,2358.8896123703507,2304.9204243327463,0.02287906468983644,487.65600000007544,2367.986931042433,representative_12x24,6,1,0.0,12.0,0.5,2358.889612370351,2338.4299045511757,0.0,2.4597078191752746,18.0,2358.889612370351,0.0,2131.329882105923,247.95037139650603,228.3352101853468,4.9194156383640575,0.39105400291633063,0.06255753868323351,0.9787234042553191,5.166666661777778,0.008722368153112297,,,,Stopped before optimality proof; incumbent retained with gap=2.287906%.,6
E2,reconf_6,How sensitive is mobile value to the reconfiguration interval under a shared storage budget?,real,g2_representative_12x24,hybrid,Case C: Hybrid,ok,maxTimeLimit,feasible_with_gap,2309.37132083587,2265.6735754046076,0.018921922618942915,487.48400000005495,2312.905395707029,representative_12x24,6,1,9.0,6.0,0.5,2309.37132083587,2289.682505568341,0.0,1.688815267528758,18.0,2309.37132083587,0.0,2133.7971550753773,284.948042878088,262.8656086974744,3.3776309295922053,0.43284554529645786,0.06224782506906474,0.9574468085106383,4.812499995614583,0.011977414643901518,,,,Stopped before optimality proof; incumbent retained with gap=1.892192%.,6
E2,reconf_12,How sensitive is mobile value to the reconfiguration interval under a shared storage budget?,real,g2_representative_12x24,no_storage,Case 0: No Storage,ok,optimal,optimal,2584.1787740315203,2584.1787740315017,0.0,13.921999999904074,2584.1787740315203,representative_12x24,12,1,0.0,0.0,0.0,2584.1787740315203,2584.1787740315203,0.0,0.0,0.0,2584.1787740315203,0.0,2111.7147208947636,0.0,0.0,0.0,0.0,0.04347826088739793,0.0,0.0,0.0,,,,,12
E2,reconf_12,How sensitive is mobile value to the reconfiguration interval under a shared storage budget?,real,g2_representative_12x24,fixed_only,Case A: Fixed Only,ok,optimal,optimal,2264.3077646661045,2264.3077646661045,0.0,15.422000000020489,2264.3077646661045,representative_12x24,12,1,18.0,0.0,0.0,2264.3077646661045,2246.3077646661045,0.0,0.0,18.0,2264.3077646661045,0.0,2135.5693454851307,314.8166624653036,290.96203787493647,0.0,0.0,0.048895815763840715,0.9130434782608695,0.0,0.0,,,,,12
E2,reconf_12,How sensitive is mobile value to the reconfiguration interval under a shared storage budget?,real,g2_representative_12x24,mobile_only,Case B: Mobile Only,ok,maxTimeLimit,feasible_with_gap,2356.7645351719884,2321.1376834668026,0.015116848193146236,486.0779999999795,2374.2184144071744,representative_12x24,12,1,0.0,12.0,0.5,2356.7645351719884,2337.1612184902174,0.0,1.6033166817709616,18.0,2356.7645351719884,0.0,2131.565726942,250.36929279216574,230.51828674492955,3.206633363541996,0.381556491562166,0.05013551757518946,1.0,11.999999987999999,0.011618236824385427,,,,Stopped before optimality proof; incumbent retained with gap=1.511685%.,12
E2,reconf_12,How sensitive is mobile value to the reconfiguration interval under a shared storage budget?,real,g2_representative_12x24,hybrid,Case C: Hybrid,ok,maxTimeLimit,feasible_with_gap,2307.661638218841,2280.277857123107,0.01186646284802391,486.76600000006147,2313.185204353418,representative_12x24,12,1,9.0,6.0,0.5,2307.661638218841,2288.9144983722827,0.0,0.747139846558288,18.0,2307.661638218841,0.0,2133.938435257573,286.3970703877893,264.1733560249799,1.4942796931168694,0.4168610522357437,0.048623122010590124,1.0,11.66666665511111,0.01082811371815972,,,,Stopped before optimality proof; incumbent retained with gap=1.186646%.,12
E2,reconf_24,How sensitive is mobile value to the reconfiguration interval under a shared storage budget?,real,g2_representative_12x24,no_storage,Case 0: No Storage,ok,optimal,optimal,2584.1787740315203,2584.1787740315017,0.0,12.984000000054948,2584.1787740315203,representative_12x24,24,1,0.0,0.0,0.0,2584.1787740315203,2584.1787740315203,0.0,0.0,0.0,2584.1787740315203,0.0,2111.7147208947636,0.0,0.0,0.0,0.0,0.043478260888052636,0.0,0.0,0.0,,,,,24
E2,reconf_24,How sensitive is mobile value to the reconfiguration interval under a shared storage budget?,real,g2_representative_12x24,fixed_only,Case A: Fixed Only,ok,optimal,optimal,2264.3077646661045,2264.3077646661045,0.0,13.891000000061467,2264.3077646661045,representative_12x24,24,1,18.0,0.0,0.0,2264.3077646661045,2246.3077646661045,0.0,0.0,18.0,2264.3077646661045,0.0,2135.5693454851307,314.8166624653036,290.96203787493647,0.0,0.0,0.043928560639703886,0.45454545454545453,0.0,0.0,,,,,24
E2,reconf_24,How sensitive is mobile value to the reconfiguration interval under a shared storage budget?,real,g2_representative_12x24,mobile_only,Case B: Mobile Only,ok,optimal,optimal,2357.177986118237,2356.9452317254136,0.0,403.51600000006147,2357.177986118237,representative_12x24,24,1,0.0,12.0,0.5,2357.177986118237,2339.177986118237,0.0,0.0,18.0,2357.177986118237,0.0,2131.4698944218812,249.38639514992667,229.6312216228088,8.335018857766324e-14,0.3719157133846576,0.04505430806794711,0.18181818181818182,12.666666659444443,6.314408225532712e-16,,,,,24
