experiment_id,variant_id,question,track,source,case,case_label,solver_status,termination_condition,case_outcome,best_incumbent,best_bound,gap,elapsed_seconds,lp_relaxation_objective,timeline_mode,reconf_hours,delay_windows,fixed_total_mwh,mobile_total_mwh,c_reconf_yuan_per_mwh,C_total,C_grid,C_unserved,C_reconf,C_storage,C_total_with_storage,total_unmet_load,total_grid_purchase,total_charging_energy,total_discharging_energy,total_reconfiguration_volume,average_active_mobile_capacity_utilisation,SC_1,HT,R_delay,V_reconf_norm,B_reuse,L_friction,V_mob_net,note,concentration,concentration_level
E4,conc_0.35,"Under a shared storage budget, does mobile help more when stress is localized or distributed?",synthetic,synthetic_concentration_scan,no_storage,Case 0: No Storage,ok,optimal,optimal,2612.0628,2612.0627999999965,0.0,1.4530000000959262,2612.0628,synthetic_hourly,24,1,0.0,0.0,0.0,2612.0628000000006,915.7428,1696.3200000000004,0.0,0.0,2612.0628000000006,141.36000000000004,856.688,0.0,0.0,0.0,0.0,0.20736136571790362,1.0,0.0,0.0,,,,,0.35,0.35
E4,conc_0.35,"Under a shared storage budget, does mobile help more when stress is localized or distributed?",synthetic,synthetic_concentration_scan,fixed_only,Case A: Fixed Only,ok,optimal,optimal,2365.512063157895,2365.512063157895,0.0,1.7969999999040738,2365.512063157895,synthetic_hourly,24,1,3.6,0.0,0.0,2365.5120631578948,928.2480631578948,1433.6640000000002,0.0,3.6,2365.5120631578948,119.47200000000002,879.4248421052631,22.73684210526316,21.888000000000005,0.0,0.0,0.2084781106016805,0.42857142857142855,0.0,0.0,,,,,0.35,0.35
E4,conc_0.35,"Under a shared storage budget, does mobile help more when stress is localized or distributed?",synthetic,synthetic_concentration_scan,mobile_only,Case B: Mobile Only,ok,optimal,optimal,2448.8956421052635,2448.8956421052635,0.0,1.875,2448.8956421052635,synthetic_hourly,24,1,0.0,2.4,0.5,2448.8956421052635,924.0796421052631,1521.2160000000003,0.0,3.5999999999999996,2448.8956421052635,126.76800000000003,871.8458947368421,15.157894736842104,14.592,4.996003610813204e-16,0.38239807771298595,0.20765270225208352,1.0,2.4666666664125927,2.9738116729260854e-17,,,,,0.35,0.35
E4,conc_0.35,"Under a shared storage budget, does mobile help more when stress is localized or distributed?",synthetic,synthetic_concentration_scan,hybrid,Case C: Hybrid,ok,optimal,optimal,2407.2038526315796,2407.203852631579,0.0,2.187000000034459,2407.2038526315796,synthetic_hourly,24,1,1.8,1.2,0.5,2407.2038526315796,926.163852631579,1477.4400000000005,0.0,3.5999999999999996,2407.2038526315796,123.12000000000003,875.6353684210526,18.947368421052627,18.239999999999995,9.409140133698202e-15,0.41052849163747246,0.20793977629412658,0.7142857142857143,2.928571428211593,1.1201357300688173e-15,,,,,0.35,0.35
E4,conc_0.50,"Under a shared storage budget, does mobile help more when stress is localized or distributed?",synthetic,synthetic_concentration_scan,no_storage,Case 0: No Storage,ok,optimal,optimal,2528.085600000001,2528.0856000000126,0.0,1.7189999999245629,2528.085600000001,synthetic_hourly,24,1,0.0,0.0,0.0,2528.0856000000003,915.5735999999999,1612.5120000000006,0.0,0.0,2528.0856000000003,134.37600000000006,856.544,0.0,0.0,0.0,0.0,0.21569089276908338,1.0,0.0,0.0,,,,,0.5,0.5
E4,conc_0.50,"Under a shared storage budget, does mobile help more when stress is localized or distributed?",synthetic,synthetic_concentration_scan,fixed_only,Case A: Fixed Only,ok,optimal,optimal,2283.8347631578954,2283.8347631578954,0.0,1.75,2283.8347631578954,synthetic_hourly,24,1,3.6,0.0,0.0,2283.8347631578954,927.7627631578947,1352.4720000000007,0.0,3.6,2283.8347631578954,112.70600000000005,879.0628421052631,22.73684210526316,21.888000000000005,0.0,0.0,0.21657609100767097,1.0,0.0,0.0,,,,,0.5,0.5
E4,conc_0.50,"Under a shared storage budget, does mobile help more when stress is localized or distributed?",synthetic,synthetic_concentration_scan,mobile_only,Case B: Mobile Only,ok,optimal,optimal,2364.9184421052637,2364.9184421052637,0.0,1.8910000000614673,2364.9184421052637,synthetic_hourly,24,1,0.0,2.4,0.5,2364.9184421052637,923.9104421052631,1437.4080000000006,0.0,3.5999999999999996,2364.9184421052637,119.78400000000005,871.7018947368421,15.157894736842106,14.592000000000002,1.7208456881689926e-15,0.3791941588990309,0.21605985914214615,1.0,2.999999999625,1.0243129095634294e-16,,,,,0.5,0.5
E4,conc_0.50,"Under a shared storage budget, does mobile help more when stress is localized or distributed?",synthetic,synthetic_concentration_scan,hybrid,Case C: Hybrid,ok,optimal,optimal,2323.2266526315793,2323.2266526315793,0.0,2.25,2323.2266526315793,synthetic_hourly,24,1,1.8,1.2,0.5,2323.2266526315793,925.9946526315789,1393.6320000000005,0.0,3.5999999999999996,2323.2266526315793,116.13600000000004,875.4913684210526,18.947368421052634,18.240000000000002,1.249000902703301e-16,0.4112472987463876,0.2163631639712071,1.0,3.053571428182079,1.4869058363745362e-17,,,,,0.5,0.5
E4,conc_0.65,"Under a shared storage budget, does mobile help more when stress is localized or distributed?",synthetic,synthetic_concentration_scan,no_storage,Case 0: No Storage,ok,optimal,optimal,2446.1973000000003,2446.1973,0.0,1.484000000054948,2446.1973000000003,synthetic_hourly,24,1,0.0,0.0,0.0,2446.1973000000003,915.1173,1531.0800000000002,0.0,0.0,2446.1973000000003,127.59000000000002,856.202,0.0,0.0,0.0,0.0,0.22382384054136814,1.0,0.0,0.0,,,,,0.65,0.65
E4,conc_0.65,"Under a shared storage budget, does mobile help more when stress is localized or distributed?",synthetic,synthetic_concentration_scan,fixed_only,Case A: Fixed Only,ok,optimal,optimal,2204.7527631578946,2204.7527631578946,0.0,1.8290000000270084,2204.7527631578946,synthetic_hourly,24,1,3.6,0.0,0.0,2204.7527631578946,926.9207631578947,1274.2320000000002,0.0,3.6,2204.7527631578946,106.186,878.4548421052631,22.73684210526316,21.888,0.0,0.0,0.22512028447459603,1.0,0.0,0.0,,,,,0.65,0.65
